GEOID10,low,lowmod,lmmi,lowmoduniv,lowmod_pct,moe_lowmod_pct
471570001001,675,1025,1200,1750,0.5857,0.2869
471570001002,345,560,970,2655,0.2109,0.0753
471570001003,415,635,740,1935,0.3282,0.1421
471570002001,570,665,875,895,0.743,0.17989999999999998
471570003001,390,450,480,515,0.8737999999999999,0.2621
471570003002,160,280,335,380,0.7368000000000001,0.3053
471570004001,330,390,450,540,0.7222,0.34259999999999996
471570004002,795,1230,1315,1330,0.9248000000000001,0.1917
471570006001,570,700,705,800,0.875,0.2588
471570006002,720,890,1055,1095,0.8128,0.22469999999999998
471570007001,760,1260,1430,2015,0.6253,0.2273
471570007002,1325,1555,1600,1610,0.9658,0.546
471570007003,590,670,1095,1345,0.49810000000000004,0.2662
471570008001,865,950,1025,1025,0.9268000000000001,0.2507
471570008002,470,560,645,695,0.8058,0.2532
471570008003,300,425,470,470,0.9043000000000001,0.41700000000000004
471570009001,480,785,835,900,0.8722,0.29109999999999997
471570009002,425,510,535,535,0.9533,0.35509999999999997
471570009003,615,710,815,975,0.7282,0.2718
471570011001,765,1175,1450,1615,0.7276,0.2291
471570011002,655,760,830,830,0.9157,0.3795
471570011003,365,510,600,645,0.7907,0.2992
471570012001,525,755,1100,1505,0.5017,0.19469999999999998
471570012002,570,860,930,1135,0.7576999999999999,0.4449
471570012003,360,630,725,855,0.7368000000000001,0.2889
471570013001,1050,1250,1320,1365,0.9158,0.3048
471570013002,305,355,355,485,0.732,0.4103
471570013003,275,440,565,690,0.6377,0.2797
471570013004,880,990,1010,1030,0.9612,0.35729999999999995
471570014001,715,1080,1475,1565,0.6901,0.1936
471570015001,425,530,590,665,0.797,0.2466
471570015002,430,545,650,725,0.7517,0.1862
471570016001,150,185,245,925,0.2,0.08220000000000001
471570016002,225,300,435,1015,0.2956,0.1281
471570016003,15,30,50,115,0.2609,0.21739999999999998
471570017001,265,565,1000,1895,0.2982,0.10400000000000001
471570017002,280,510,800,1090,0.4679,0.18719999999999998
471570017003,225,405,640,895,0.4525,0.2291
471570019001,160,250,335,360,0.6944,0.2861
471570019002,580,880,960,990,0.8889,0.201
471570020001,270,395,540,635,0.622,0.23309999999999997
471570020002,825,925,1035,1120,0.8259000000000001,0.2491
471570021001,860,1030,1150,1300,0.7923,0.1485
471570024001,755,840,1195,1535,0.5472,0.20850000000000002
471570024002,505,640,665,690,0.9275,0.3406
471570024003,90,185,230,240,0.7707999999999999,0.4292
471570025001,590,735,865,880,0.8351999999999999,0.3011
471570025002,760,945,1200,2035,0.4644,0.1464
471570026001,355,740,875,1535,0.48210000000000003,0.1309
471570026002,130,220,295,1125,0.1956,0.096
471570027001,225,375,590,610,0.6148,0.2475
471570027002,955,1160,1250,1530,0.7582,0.3804
471570028001,805,1195,1450,1755,0.6809000000000001,0.1954
471570028002,165,410,440,465,0.8817,0.38060000000000005
471570028003,1225,1285,1360,1505,0.8538,0.25379999999999997
471570029001,295,490,580,1070,0.4579,0.2645
471570029002,250,735,870,1220,0.6025,0.3164
471570029003,175,260,560,1190,0.21850000000000003,0.1739
471570029004,10,30,45,800,0.0375,0.0475
471570029005,70,70,90,545,0.1284,0.1505
471570030001,615,785,830,890,0.882,0.3281
471570030002,705,775,950,1140,0.6798000000000001,0.2658
471570030003,140,370,665,1370,0.2701,0.162
471570031001,85,170,320,575,0.2957,0.1496
471570031002,290,375,450,880,0.4261,0.2205
471570031003,175,250,370,695,0.35969999999999996,0.1252
471570031004,210,390,520,975,0.4,0.1313
471570032001,340,465,665,800,0.5813,0.1813
471570032002,485,700,920,1145,0.6114,0.2096
471570032003,250,430,650,945,0.455,0.1566
471570033001,130,270,555,1290,0.20929999999999999,0.10619999999999999
471570033002,195,235,435,1200,0.19579999999999997,0.1967
471570034001,310,330,500,980,0.3367,0.1776
471570034002,675,965,1165,1305,0.7395,0.2391
471570035001,75,115,205,840,0.1369,0.1143
471570035002,70,315,465,1055,0.2986,0.1754
471570035003,325,680,895,1395,0.4875,0.1857
471570036001,255,315,375,470,0.6701999999999999,0.3489
471570036002,690,970,1025,1275,0.7608,0.1882
471570037001,780,950,1065,1205,0.7884,0.10710000000000001
471570038001,535,700,820,1060,0.6604000000000001,0.083
471570039001,855,1080,1300,1370,0.7883,0.10289999999999999
471570042001,275,540,715,1190,0.45380000000000004,0.13699999999999998
471570042002,155,310,435,1405,0.2206,0.09179999999999999
471570043001,210,315,545,1400,0.225,0.0493
471570045001,280,470,480,500,0.94,0.258
471570046001,735,1070,1235,1375,0.7781999999999999,0.1149
471570050001,510,550,635,655,0.8397,0.20920000000000002
471570050002,365,410,410,440,0.9318000000000001,0.41359999999999997
471570053001,470,615,840,965,0.6373,0.2021
471570053002,705,950,1160,1340,0.7090000000000001,0.2866
471570053003,705,935,1020,1190,0.7857,0.2151
471570055001,525,535,630,670,0.7985,0.3343
471570055002,310,315,315,405,0.7778,0.4889
471570055003,285,475,620,725,0.6552,0.3779
471570056001,600,755,920,1085,0.6959000000000001,0.223
471570056002,530,805,1200,1475,0.5458,0.2
471570056003,560,790,855,1175,0.6723,0.2366
471570057001,405,580,770,825,0.703,0.24969999999999998
471570057002,605,855,965,1440,0.5938,0.1986
471570058001,195,220,255,255,0.8626999999999999,0.498
471570058002,445,640,675,830,0.7711,0.3554
471570059001,465,865,925,935,0.9251,0.3433
471570059002,635,770,815,855,0.9006000000000001,0.5626
471570059003,390,440,555,565,0.7787999999999999,0.3912
471570060001,640,965,1165,1295,0.7452,0.18530000000000002
471570060002,550,790,790,855,0.924,0.3018
471570062001,380,540,660,785,0.6879000000000001,0.24710000000000001
471570062002,65,200,230,280,0.7143,0.3357
471570062003,585,765,940,1095,0.6986,0.23739999999999997
471570063001,270,440,655,1085,0.40549999999999997,0.1567
471570063002,210,410,525,670,0.6119,0.4522
471570063003,250,475,530,810,0.5864,0.2457
471570064001,760,1140,1505,1780,0.6404000000000001,0.177
471570065001,705,875,920,1160,0.7543000000000001,0.3362
471570065002,770,1035,1125,1525,0.6787000000000001,0.20329999999999998
471570066001,425,575,680,800,0.7188,0.1963
471570066002,385,595,845,1280,0.4648,0.1359
471570067001,315,430,640,705,0.6099,0.3191
471570067002,915,935,945,970,0.9639,0.4711
471570067003,665,710,785,835,0.8503000000000001,0.5102
471570067004,490,555,580,635,0.8740000000000001,0.537
471570068001,295,415,445,475,0.8737,0.35159999999999997
471570068002,755,795,850,975,0.8154,0.4667
471570068003,645,725,725,895,0.8101,0.2291
471570069001,490,875,970,1350,0.6481,0.2119
471570069002,540,735,770,785,0.9362999999999999,0.4497
471570069003,715,760,885,935,0.8128,0.4043
471570070001,815,1070,1350,1530,0.6993,0.19079999999999997
471570070002,355,705,1045,1255,0.5618,0.1833
471570070003,555,690,720,740,0.9323999999999999,0.36219999999999997
471570071001,60,180,275,1365,0.1319,0.0696
471570071002,480,790,900,1050,0.7524,0.2076
471570072001,260,400,525,1230,0.32520000000000004,0.14800000000000002
471570072002,145,240,680,1240,0.1935,0.079
471570073001,280,385,435,760,0.5065999999999999,0.13949999999999999
471570073002,315,335,405,490,0.6837000000000001,0.2551
471570073003,630,700,730,1035,0.6762999999999999,0.2754
471570074001,720,940,1230,1440,0.6528,0.1625
471570074002,560,705,980,1370,0.5146000000000001,0.146
471570075001,255,330,395,405,0.8148000000000001,0.27899999999999997
471570075002,380,510,695,760,0.6711,0.24739999999999998
471570078101,260,300,370,480,0.625,0.2813
471570078102,310,595,835,920,0.6467,0.237
471570078103,570,705,850,850,0.8294,0.3071
471570078211,610,650,730,740,0.8784000000000001,0.5257000000000001
471570078212,515,660,690,700,0.9429000000000001,0.5457
471570078213,880,965,1040,1190,0.8109000000000001,0.4
471570078214,905,1210,1345,1775,0.6817,0.3037
471570078215,770,845,1055,1125,0.7511,0.4364
471570078221,940,1185,1420,1515,0.7822,0.14980000000000002
471570079001,670,825,1035,1490,0.5537,0.31679999999999997
471570079002,695,960,1080,1125,0.8533,0.4213
471570079003,390,720,885,915,0.7868999999999999,0.365
471570079004,845,925,1120,1345,0.6877,0.2468
471570079005,335,550,1050,1135,0.48460000000000003,0.2705
471570080001,625,835,1245,1450,0.5759000000000001,0.2545
471570080002,1030,1240,1375,1435,0.8641,0.3422
471570080003,925,1210,1310,1655,0.7311,0.3335
471570080004,535,570,780,880,0.6476999999999999,0.6034
471570081101,560,735,825,1070,0.6869,0.1664
471570081102,495,685,750,845,0.8107,0.2828
471570081103,645,705,870,915,0.7705,0.3443
471570081201,480,615,630,770,0.7987000000000001,0.3156
471570081202,670,1040,1405,1895,0.5488000000000001,0.1931
471570081203,960,1060,1200,1335,0.794,0.23149999999999998
471570081204,250,470,480,480,0.9792000000000001,0.4792
471570082001,535,1015,1200,1225,0.8286,0.40240000000000004
471570082002,785,850,1100,1125,0.7556,0.3102
471570082003,955,1260,1490,1600,0.7875,0.31629999999999997
471570082004,405,485,550,605,0.8017,0.486
471570082005,820,940,980,1005,0.9353,0.3642
471570085001,100,125,400,2145,0.0583,0.0382
471570085002,135,430,525,2330,0.1845,0.0751
471570086001,425,810,1370,2135,0.37939999999999996,0.11939999999999999
471570086002,185,220,270,2350,0.09359999999999999,0.0834
471570086003,365,535,735,1690,0.3166,0.1698
471570087001,400,545,975,1115,0.4888,0.2341
471570087002,150,280,725,1130,0.24780000000000002,0.18760000000000002
471570087003,220,315,790,1010,0.3119,0.12380000000000001
471570087004,615,745,830,1005,0.7413,0.32539999999999997
471570088001,1160,1380,1580,1770,0.7797,0.3181
471570088002,2795,3195,3295,3360,0.9509000000000001,0.2557
471570088003,1105,1455,1570,1910,0.7618,0.49579999999999996
471570088004,40,405,590,715,0.5664,0.4517
471570089001,920,1220,1340,1355,0.9004000000000001,0.4118
471570089002,1120,1400,1475,1525,0.9179999999999999,0.3489
471570089003,555,860,1015,1115,0.7713,0.322
471570091001,955,1070,1280,1350,0.7926000000000001,0.2659
471570091002,665,1045,1360,1595,0.6552,0.18059999999999998
471570092001,20,145,310,1350,0.1074,0.1052
471570092002,145,235,365,885,0.2655,0.19440000000000002
471570092003,495,820,975,1975,0.4152,0.161
471570092004,155,240,470,1480,0.16219999999999998,0.0926
471570092005,45,340,460,1785,0.1905,0.08349999999999999
471570093001,210,340,640,1235,0.2753,0.1352
471570093002,150,275,610,1760,0.1563,0.0892
471570093003,965,1230,1565,1660,0.741,0.4711
471570094001,265,450,685,1615,0.2786,0.1393
471570094002,525,1090,1590,2105,0.5178,0.2014
471570095001,140,380,930,1695,0.2242,0.131
471570095002,115,415,540,1550,0.2677,0.1671
471570095003,175,410,570,1595,0.2571,0.1103
471570095004,245,375,880,1590,0.23579999999999998,0.1509
471570096001,110,115,115,1005,0.1144,0.1493
471570096002,20,70,245,1600,0.0438,0.0381
471570096003,95,145,235,1080,0.1343,0.0759
471570096004,235,480,635,1485,0.3232,0.1966
471570097001,685,1095,1675,1900,0.5763,0.16579999999999998
471570097002,270,410,720,830,0.494,0.2241
471570098001,735,1210,1380,1630,0.7423000000000001,0.22820000000000001
471570098002,850,1280,1740,2115,0.6052000000000001,0.23920000000000002
471570099011,600,645,675,750,0.86,0.5333
471570099012,405,530,820,880,0.6023,0.242
471570099013,1230,1540,1595,1665,0.92489999999999994,0.30210000000000004
471570099021,330,590,855,935,0.631,0.2545
471570099022,765,825,915,940,0.8776999999999999,0.37020000000000003
471570099023,490,685,810,855,0.8012,0.32630000000000003
471570100001,905,1230,1520,1770,0.6949,0.2768
471570100002,920,1515,2005,2310,0.6557999999999999,0.3268
471570100003,555,730,810,825,0.8848,0.4339
471570100004,730,870,1070,1255,0.6931999999999999,0.4279
471570100005,520,850,960,1200,0.7082999999999999,0.35
471570101101,550,595,680,940,0.633,0.2638
471570101102,635,1000,1265,1435,0.6969,0.3986
471570101103,1100,1185,1200,1200,0.9875,0.425
471570101104,1130,1130,1130,1285,0.8794,0.4521
471570101105,840,910,1260,1415,0.6431,0.38799999999999996
471570101106,1140,1600,1625,1625,0.9845999999999999,0.3218
471570101201,695,990,1160,1285,0.7704000000000001,0.24280000000000002
471570101202,605,660,755,815,0.8098000000000001,0.2785
471570101203,560,710,765,960,0.7395999999999999,0.2771
471570101204,315,465,680,820,0.5671,0.322
471570101205,475,620,745,745,0.8321999999999999,0.345
471570102101,1080,1600,1820,1975,0.8101,0.2354
471570102102,495,640,890,970,0.6598,0.266
471570102103,405,625,910,1005,0.6219,0.2746
471570102104,950,1200,1425,1635,0.7339,0.2709
471570102201,490,560,740,790,0.7089,0.7746999999999999
471570102202,1205,1385,1485,1760,0.7868999999999999,0.28859999999999997
471570102203,125,220,605,740,0.2973,0.1743
471570102204,390,400,560,660,0.6061,0.4242
471570102205,600,820,985,1585,0.5174,0.2625
471570102206,305,360,560,1010,0.3564,0.23370000000000002
471570103001,825,1030,1345,1495,0.6890000000000001,0.15789999999999998
471570105001,535,820,970,1095,0.7489,0.2137
471570105002,150,160,165,185,0.8649,0.46490000000000004
471570106101,970,1195,1940,1980,0.6035,0.2212
471570106102,415,530,1080,1170,0.45299999999999996,0.2821
471570106103,400,735,880,925,0.7946,0.5816
471570106104,1060,1865,2460,3145,0.593,0.2086
471570106201,535,870,980,1025,0.8488,0.3932
471570106202,655,890,1015,1025,0.8683,0.2732
471570106203,665,1255,1325,1415,0.8869,0.1894
471570106301,665,1010,1145,1300,0.7768999999999999,0.32770000000000005
471570106302,605,845,1005,1060,0.7972,0.2519
471570106303,1520,2060,2150,2170,0.9493,0.21660000000000001
471570107101,390,470,860,980,0.4796,0.3194
471570107102,95,230,540,1115,0.20629999999999998,0.1175
471570107103,875,1760,2310,2905,0.6059,0.1959
471570107201,310,485,535,970,0.5,0.1773
471570107202,1490,1585,1715,1770,0.8955,0.24969999999999998
471570107203,255,635,805,1070,0.5935,0.23079999999999998
471570108101,670,905,1180,1600,0.5656,0.1956
471570108102,710,965,1365,1600,0.6031,0.1913
471570108103,510,1005,1125,1585,0.6341,0.2927
471570108104,880,1305,1550,1650,0.7909,0.3358
471570108201,370,505,600,925,0.5459,0.37189999999999995
471570108202,300,610,885,1310,0.4656,0.1962
471570108203,90,380,570,1150,0.33039999999999997,0.2165
471570108204,640,1005,1060,1285,0.7820999999999999,0.3642
471570110101,410,875,935,1485,0.5892000000000001,0.2141
471570110102,240,340,495,920,0.3696,0.23260000000000003
471570110103,1235,1720,1945,2105,0.8170999999999999,0.2504
471570110201,265,455,580,690,0.6594,0.24059999999999998
471570110202,125,135,190,235,0.5745,0.39149999999999996
471570110203,185,230,265,345,0.6667000000000001,0.21739999999999998
471570111001,635,810,910,970,0.8351000000000001,0.2505
471570111002,455,640,830,880,0.7273000000000001,0.2182
471570112001,340,500,500,510,0.9804,0.3
471570112002,400,520,535,580,0.8966,0.36719999999999997
471570112003,460,490,535,565,0.8673000000000001,0.2637
471570113001,800,980,1125,1300,0.7537999999999999,0.14150000000000001
471570114001,1070,1250,1310,1310,0.9542,0.21600000000000003
471570114002,410,475,540,720,0.6597,0.29719999999999996
471570114003,765,905,925,990,0.9140999999999999,0.301
471570115001,320,340,420,440,0.7726999999999999,0.5455
471570115002,435,720,750,775,0.929,0.6142
471570115003,210,255,450,550,0.4636,0.2582
471570115004,325,500,590,590,0.8475,0.3237
471570116001,785,870,885,1040,0.8365,0.3135
471570116002,725,1110,1335,1450,0.7655,0.2138
471570117001,825,1105,1305,1450,0.7620999999999999,0.2297
471570118001,325,720,1265,1420,0.507,0.1894
471570118002,370,740,935,1165,0.6352,0.4738
471570118003,1665,2005,2430,2465,0.8134,0.2548
471570118004,140,180,295,940,0.19149999999999998,0.07769999999999999
471570201011,140,345,470,970,0.3557,0.1691
471570201012,300,300,425,435,0.6897,0.3954
471570201013,590,905,1005,1190,0.7605,0.32270000000000004
471570201014,965,1225,1575,1675,0.7313,0.2352
471570201021,290,370,835,1740,0.2126,0.0966
471570201022,130,180,500,1255,0.1434,0.0757
471570202101,750,970,1160,1580,0.6139,0.3323
471570202102,155,425,985,1335,0.3184,0.18280000000000002
471570202103,310,1300,1470,1840,0.7065,0.2554
471570202104,95,210,325,875,0.24,0.1703
471570202211,195,385,520,1025,0.37560000000000004,0.1707
471570202212,290,325,910,2025,0.1605,0.10619999999999999
471570202221,585,975,1445,2000,0.4875,0.1685
